_id,state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
ObjectId("5ea70f340e750000200361b0"),6,CA,1986,26981000,248370,3038,12119,92512,140701,1576299,457698,913004,205597
ObjectId("5ea70f340e750000200361b1"),6,CA,1987,27663000,253943,2924,12109,83341,155569,1545928,419969,896335,229624
ObjectId("5ea70f340e750000200361b2"),6,CA,1989,29063000,284136,3158,11966,96431,172581,1681516,410468,972603,298445
ObjectId("5ea70f340e750000200361b3"),6,CA,1990,29760021,311051,3553,12688,112208,182602,1654186,400392,951580,302214
ObjectId("5ea70f340e750000200361b4"),6,CA,1991,30380000,331122,3859,12896,124939,189428,1726391,424656,986120,315615
ObjectId("5ea70f340e750000200361b5"),6,CA,1992,30867000,345624,3921,12761,130897,198045,1716137,427491,968534,320112
ObjectId("5ea70f340e750000200361b6"),6,CA,1993,31211000,336381,4096,11766,126436,194083,1678884,414182,945407,319295
ObjectId("5ea70f340e750000200361b7"),6,CA,1994,31431000,318395,3703,10984,112160,191548,1622102,384257,929640,308205
ObjectId("5ea70f340e750000200361b8"),6,CA,2017,39399349,178597,1830,,56625,105418,987063,176679,642019,168365
ObjectId("5ea70f340e750000200361b9"),6,CA,2018,39557045,176982,1739,,54326,105412,941618,164632,621775,155211
ObjectId("5ea70f340e750000200361ba"),6,CA,2009,36961664,174934,1972,8713,64093,100156,1009433,230198,615402,163833
ObjectId("5ea70f340e750000200361bb"),6,CA,2010,37338198,164133,1809,8331,58116,95877,981939,228857,600558,152524
ObjectId("5ea70f340e750000200361bc"),6,CA,2011,37683933,154943,1792,7665,54291,91195,973822,230075,596905,146842
ObjectId("5ea70f340e750000200361bd"),6,CA,2012,37999878,160944,1884,7837,56521,94702,1049465,245767,635090,168608
ObjectId("5ea70f340e750000200361be"),6,CA,2013,38431393,154739,1746,7464,53640,89029,1018907,232058,621557,165292
ObjectId("5ea70f340e750000200361bf"),7,CO,2016,5530105,19030,189,3555,3525,11681,152146,23825,108680,19641
ObjectId("5ea70f340e750000200361c0"),7,CO,2001,4430989,15492,158,1930,3555,9849,170887,28533,121360,20994
ObjectId("5ea70f340e750000200361c1"),7,CO,2002,4501051,15882,179,2066,3579,10058,180054,31678,125193,23183
ObjectId("5ea70f340e750000200361c2"),7,CO,2000,4301261,14367,134,1774,3034,9425,156937,27133,112843,16961
ObjectId("5ea70f340e750000200361c3"),7,CO,2009,5024748,17022,159,2269,3371,11223,134196,26637,95079,12480
ObjectId("5ea70f340e750000200361c4"),7,CO,2010,5047692,16339,129,2230,3164,10816,135001,26196,97534,11271
ObjectId("5ea70f340e750000200361c5"),7,CO,1995,3747000,16494,216,1480,3604,11194,185705,35001,136184,14520
ObjectId("5ea70f340e750000200361c6"),7,CO,2015,5448819,17348,173,2422,3315,10532,144044,23490,104532,16022
ObjectId("5ea70f340e750000200361c7"),7,CO,2014,5355588,16487,150,2236,3037,10211,135789,23502,99688,12599
ObjectId("5ea70f340e750000200361c8"),7,CO,1979,2772000,14472,161,1472,4353,8486,180984,49741,117898,13345
ObjectId("5ea70f340e750000200361c9"),7,CO,1980,2878407,15215,198,1510,4608,8899,195872,58455,124514,12903
ObjectId("5ea70f340e750000200361ca"),7,CO,1981,2963000,15755,239,1352,4726,9438,202119,60197,129658,12264
ObjectId("5ea70f340e750000200361cb"),7,CO,1982,3045000,15354,182,1356,4587,9229,200230,53260,134873,12097
